acc_x_t1,acc_y_t1,acc_z_t1,gyro_x_t1,gyro_y_t1,gyro_z_t1,flex_t1,acc_x_t2,acc_y_t2,acc_z_t2,gyro_x_t2,gyro_y_t2,gyro_z_t2,flex_t2,acc_x_t3,acc_y_t3,acc_z_t3,gyro_x_t3,gyro_y_t3,gyro_z_t3,flex_t3,acc_x_t4,acc_y_t4,acc_z_t4,gyro_x_t4,gyro_y_t4,gyro_z_t4,flex_t4,acc_x_t5,acc_y_t5,acc_z_t5,gyro_x_t5,gyro_y_t5,gyro_z_t5,flex_t5,acc_x_t6,acc_y_t6,acc_z_t6,gyro_x_t6,gyro_y_t6,gyro_z_t6,flex_t6,acc_x_t7,acc_y_t7,acc_z_t7,gyro_x_t7,gyro_y_t7,gyro_z_t7,flex_t7,acc_x_t8,acc_y_t8,acc_z_t8,gyro_x_t8,gyro_y_t8,gyro_z_t8,flex_t8,acc_x_t9,acc_y_t9,acc_z_t9,gyro_x_t9,gyro_y_t9,gyro_z_t9,flex_t9,acc_x_t10,acc_y_t10,acc_z_t10,gyro_x_t10,gyro_y_t10,gyro_z_t10,flex_t10,gesture
-7.635109,-0.7906851,2.157176,-60.39634,180.0915,52.72104,0,-8.837597,-1.87047,1.677737,0.6097561,66.35671,90.82317,0,-9.537901,2.406771,1.144428,-4.969512,82.16463,43.72713,0,-9.488221,0.5440824,0.4746505,-6.280488,41.44817,16.51677,0,-9.587581,0.8056489,-1.204882,-7.355183,35.18293,14.12348,0,-9.585785,2.153584,-0.712275,-5.960366,23.79573,4.359756,0,-9.485827,1.401206,-0.7799112,1.829268,7.050305,8.422256,0,-9.574412,0.7984663,-1.082778,-0.7698171,22.95732,9.717988,0,-9.389461,2.106898,-2.178724,0.8841463,-4.0625,2.217988,0,-9.510367,1.323994,-2.920926,0.3963415,-15.39634,-13.93293,0,up
-2.364274,-1.633444,4.501698,-47.6372,143.9482,77.8811,0,-3.704429,-1.868076,7.451953,-48.1936,130.2515,40.2058,0,-4.987122,-3.756502,8.368334,-35.07622,133.2393,55.48018,0,-7.325659,-1.805228,5.304354,-39.18445,137.3857,48.18598,0,-8.255207,-1.384447,4.650737,-13.51372,103.689,52.84299,0,-8.921394,-1.931522,1.508347,-18.2622,86.6997,47.02744,0,-9.329605,0.2256535,1.23481,-10.0,72.2561,50.96799,0,-9.20391,0.3495534,-2.284068,-7.103659,42.92683,50.96799,0,-9.396045,3.010709,-0.6991069,-7.682927,5.121951,0.472561,0,-9.73243,1.862689,-1.734001,5.121951,-19.88567,3.071646,0,up
2.702455,-3.420716,14.07312,-28.75762,54.66463,6.181403,0,-2.48997,-0.2699462,4.622006,-51.59299,177.2027,73.66616,0,-3.857059,-5.018247,11.18032,-44.27592,143.2088,76.52439,0,-6.409278,-2.665944,5.839458,-47.24086,118.5137,33.49086,0,-8.052897,-2.543839,4.647145,-29.39025,101.2043,40.10671,0,-8.462905,-4.086902,0.8176199,-20.90701,74.50458,22.75915,0,-9.014768,-3.180098,0.6925228,-20.8003,63.94055,26.875,0,-9.326015,-1.473631,0.7541735,-16.04421,55.64024,27.69817,0,-9.31105,-0.782904,-0.9792285,-8.536586,18.71951,3.125,0,-9.375095,-1.917157,-2.586336,4.344512,-3.330793,-5.358232,0,up
-3.851672,-4.560954,9.00579,-28.97866,101.9741,63.86433,0,-6.611588,-0.6823475,4.806959,-52.50762,118.8948,43.52134,0,-7.644686,-3.198055,3.139397,-30.54878,86.12805,33.42226,0,-8.348581,-2.72939,4.02166,-26.43293,71.34147,24.58079,0,-9.003395,-1.960851,3.762488,-17.43902,69.32927,49.74086,0,-9.206305,-1.230021,1.442507,-15.34299,44.87043,50.67073,0,-9.277532,-0.985214,0.4171896,-16.875,58.90244,39.07012,0,-9.56723,-0.225055,-0.1807622,-20.89939,46.4253,27.72866,0,-9.394249,1.541267,0.2663549,-13.78811,27.22561,1.006098,0,-9.506777,1.197699,1.205481,-1.722561,-7.210366,-3.178354,0,up
-2.806603,-2.425925,5.125387,-47.30945,124.2149,55.16768,0,-5.158308,-2.740762,4.338294,-73.15549,164.6265,108.1174,0,-7.111378,-3.45603,6.048951,-41.53963,103.9939,48.10976,0,-7.848193,-4.961983,4.194043,-28.14025,70.01524,34.88567,0,-8.726865,-2.477999,3.886388,-16.76067,63.96342,29.24543,0,-8.996213,-2.905364,2.700061,-15.16006,56.9436,50.49543,0,-9.561843,-0.2549825,-0.9217676,-15.82317,51.68445,37.10366,0,-9.39365,-1.307234,-0.3076549,-27.05031,48.93293,29.53506,0,-9.176975,-0.4088099,-2.117073,-7.439024,15.3811,11.82927,0,-9.2494,-0.913388,-3.781641,6.882622,-11.26524,-10.03049,0,up
0.3543419,-1.471836,10.78468,-55.79268,160.3354,47.91159,0,-2.241571,-2.985569,10.71046,-48.55183,107.1646,28.42226,0,-4.139575,-2.885612,9.615712,-35.80793,94.8247,21.66921,0,-5.300164,-3.506907,8.746018,-38.07165,105.8765,43.58994,0,-7.07726,-2.716222,4.639364,-43.18598,133.7652,54.39024,0,-8.429385,-1.863886,2.792836,-45.75457,113.5823,39.38262,0,-8.647857,-2.506131,0.6607997,-40.54878,78.75762,41.03659,0,-9.484032,-0.7308301,-0.7595605,-36.08232,70.45732,40.27439,0,-9.41879,1.594538,-0.8972271,-12.73628,23.27744,18.86433,0,-9.458294,0.3286042,-1.233014,1.364329,-5.434452,7.782012,0,up
-4.308965,-3.194464,8.94773,-29.375,113.5976,45.73933,0,-6.256648,-2.464831,6.681618,-28.10976,95.84604,25.30488,0,-7.249643,-2.483984,4.307169,-20.57165,63.59756,18.85671,0,-7.767389,-2.776077,5.682638,-18.17073,59.00153,10.71646,0,-8.648455,-2.275689,2.614468,-14.55793,41.20427,11.04421,0,-9.020155,-2.482787,4.253898,-32.75915,71.10519,20.64024,0,-9.059659,-2.391808,2.502539,-24.48171,92.65244,59.36738,0,-8.938752,1.051055,-0.4800375,-29.1311,73.07165,61.1128,0,-9.492412,3.81097,-2.152387,-0.7469512,-2.278964,31.79878,0,-9.224859,1.121085,0.001197101,7.164634,-12.24848,-0.7545732,0,up
-3.267487,-2.649184,5.874174,-45.03049,138.8948,101.4558,0,-5.520431,-4.572327,5.771223,-39.6875,71.25,38.125,0,-6.483498,-5.032013,5.233126,-37.66768,66.6997,34.08537,0,-7.6387,-2.896385,4.566341,-31.88262,71.99696,47.91921,0,-8.118139,-3.673304,4.695628,-27.70579,64.90854,49.90092,0,-8.74542,-3.029862,0.9313444,-24.33689,55.02287,47.03506,0,-9.006987,-1.914763,0.4213795,-14.90854,32.72104,25.35823,0,-9.452907,-1.650203,-2.352303,-0.9832317,6.875,15.00762,0,-9.518747,-2.739565,-0.7655459,-2.446646,16.99695,25.21342,0,-9.124901,-1.936909,-0.2268506,-0.1676829,5.015244,10.41159,0,up
-7.560889,-2.282273,4.976947,-39.55793,106.25,32.28659,0,-8.346188,-2.602497,3.356671,-28.40701,66.0061,40.53354,0,-8.911818,-1.977012,2.689287,-18.27744,52.03506,36.4253,0,-9.2494,-1.670554,2.400786,-18.0564,49.08537,39.20732,0,-9.506178,-0.9528923,0.4022259,-10.96799,59.10823,54.80183,0,-9.235633,-0.7906851,-1.280898,-17.2561,48.62043,33.56707,0,-9.405622,1.036689,-2.313397,-15.49543,42.99543,20.42683,0,-9.063251,0.9415198,-1.766921,3.117378,-2.378049,-3.742378,0,-9.427169,0.7386112,-1.887828,5.289634,-7.560976,-1.478659,0,-9.704298,0.09397242,-3.495534,8.628049,-18.59756,0.2439024,0,up
-5.799953,-4.001908,7.808689,-38.91768,77.33994,42.37805,0,-7.419631,-3.114856,3.545214,-42.71342,86.23476,44.07774,0,-8.17979,-2.618658,3.181295,-21.47104,54.83994,36.52439,0,-8.508993,-3.108272,3.684078,-22.98781,47.3933,33.42226,0,-8.967483,-2.515707,2.998139,-19.90854,40.82317,28.1936,0,-9.19134,-1.744774,2.277484,-14.53506,34.56555,20.89939,0,-9.245809,-2.667141,3.238158,-26.01372,44.51982,44.31403,0,-9.36492,-0.267552,0.1161188,-35.25915,59.23018,39.47409,0,-9.607931,0.9720459,-2.451064,-2.240854,6.509147,16.28811,0,-9.462483,0.03172317,0.08319851,-4.588415,6.440549,1.341463,0,up
