acc_x_t1,acc_y_t1,acc_z_t1,gyro_x_t1,gyro_y_t1,gyro_z_t1,flex_t1,acc_x_t2,acc_y_t2,acc_z_t2,gyro_x_t2,gyro_y_t2,gyro_z_t2,flex_t2,acc_x_t3,acc_y_t3,acc_z_t3,gyro_x_t3,gyro_y_t3,gyro_z_t3,flex_t3,acc_x_t4,acc_y_t4,acc_z_t4,gyro_x_t4,gyro_y_t4,gyro_z_t4,flex_t4,acc_x_t5,acc_y_t5,acc_z_t5,gyro_x_t5,gyro_y_t5,gyro_z_t5,flex_t5,acc_x_t6,acc_y_t6,acc_z_t6,gyro_x_t6,gyro_y_t6,gyro_z_t6,flex_t6,acc_x_t7,acc_y_t7,acc_z_t7,gyro_x_t7,gyro_y_t7,gyro_z_t7,flex_t7,acc_x_t8,acc_y_t8,acc_z_t8,gyro_x_t8,gyro_y_t8,gyro_z_t8,flex_t8,acc_x_t9,acc_y_t9,acc_z_t9,gyro_x_t9,gyro_y_t9,gyro_z_t9,flex_t9,acc_x_t10,acc_y_t10,acc_z_t10,gyro_x_t10,gyro_y_t10,gyro_z_t10,flex_t10,gesture
3.153762,1.95307,12.99513,-10.92226,47.13415,-9.596037,8.09584,2.633622,-0.6530185,15.94179,-91.20427,233.6967,76.98933,0,-2.838326,0.587178,7.436989,-25.60976,119.2073,28.65092,0,-3.900155,-0.05267244,9.268554,-14.48171,75.8689,19.56555,0,-5.014057,-0.6907272,9.184157,-8.102135,91.20427,21.23476,0,-6.253655,1.734599,7.183204,4.039634,89.29878,10.21342,0,-7.503428,-1.372476,5.300763,17.48476,61.97409,14.58842,0,-7.764396,2.182315,5.573103,20.37348,71.21951,-4.131098,0,-8.541913,1.66816,3.536834,18.39939,56.81403,0.3734756,0,-8.985439,1.328183,2.744354,7.004573,49.57317,4.756098,0,up
2.542642,1.742979,9.172187,-4.207317,-0.9527439,-2.926829,11.12652,3.657143,1.725022,13.57752,-84.94665,249.7485,3.010671,0,-1.901595,1.630451,9.131485,-31.89025,99.28354,-1.608232,0,-3.313575,-0.07422025,9.746795,-27.38567,88.25458,1.806402,0,-4.374805,-1.197101,10.97382,-28.48323,119.7637,9.092988,0,-6.562507,0.2136825,5.74369,-6.867378,92.98781,18.64329,0,-7.504027,0.3220201,6.241684,-1.493902,74.4436,-4.695122,0,-8.22109,-0.5464766,5.637148,11.24238,62.67531,30.25153,0,-8.488044,-1.332972,3.216012,9.054878,73.9558,-4.657012,0,-9.029732,1.22643,2.820968,4.001524,56.6311,-6.852134,0,up
3.087922,1.92434,10.89541,-5.373476,16.45579,-6.859756,0,0.2256535,1.316212,5.956774,-63.62805,170.8765,-0.0304878,0,-1.595137,0.3046622,10.54526,-29.93903,158.7881,18.95579,0,-4.424485,0.4914099,8.156446,-28.52134,102.2942,10.86128,0,-5.6982,-1.696292,8.432977,-34.48171,109.8704,19.38262,0,-7.450756,-0.676362,5.279813,3.559451,74.34451,27.27896,0,-8.340201,0.5686229,4.477157,11.66159,84.05488,20.78506,0,-8.239645,1.807622,3.524265,16.71494,72.71342,7.629573,0,-8.804677,0.806846,3.489549,12.08842,33.29268,13.62043,0,-9.352949,1.246781,1.020528,2.903964,30.12957,-9.001525,0,up
-4.565144,-2.020706,8.491635,-29.88567,72.85823,-2.957317,0,-5.519234,-2.151789,8.620323,-30.66311,78.28506,9.916159,0,-6.514623,-0.4094085,6.969521,-12.36281,61.05183,25.84604,0,-7.194576,-0.7020996,6.300941,7.942073,67.24085,32.69817,0,-7.62254,-0.1927332,5.81791,14.39787,76.875,11.43293,0,-8.343793,0.4471172,4.592678,15.38872,70.61738,22.21037,0,-8.811859,0.1657985,3.849278,16.0747,71.27287,26.19665,0,-8.999206,0.9696517,2.123657,14.12348,67.2561,17.3628,0,-9.39784,2.016516,0.1705869,9.794208,36.24238,0.945122,0,-9.036914,1.386243,1.123479,5.03811,6.882622,-1.036585,0,up
1.42874,-0.5321114,10.83316,-29.45122,138.4604,15.36585,0,-0.3776853,-0.8026561,9.674969,-23.62805,162.782,19.32927,0,-3.679888,-1.90758,8.632295,-20.32774,78.24696,1.493902,0,-4.638167,-0.9630676,8.661025,-11.46342,76.50915,3.132622,0,-5.964555,-1.02412,7.580042,1.105183,97.53049,16.72256,0,-6.927623,-0.7469909,6.330269,13.49848,91.61585,22.40092,0,-7.818864,-1.408988,5.112219,11.69207,84.56555,34.33689,0,-8.445546,0.237026,3.754108,7.835366,77.14939,26.40244,0,-9.172187,0.8678981,2.00275,5.0,65.72409,18.35366,0,-9.911396,1.038485,-2.155979,16.51677,11.77592,3.856707,0,up
-0.4560954,-1.479617,10.02512,-2.934451,122.5686,1.356707,0,-2.34931,-1.397017,8.637083,3.864329,106.6082,10.21342,0,-3.950433,0.2442086,8.331223,-0.8993903,95.04573,1.493902,0,-4.914099,-1.732205,8.476671,1.196646,82.79726,-2.789634,0,-6.299743,-1.741183,7.391499,11.37957,98.26982,12.1189,0,-7.010222,-0.7308301,5.926847,-3.75,111.372,3.932927,0,-8.128315,0.629675,4.486734,0.4115854,94.70274,28.97866,0,-8.977658,0.1262941,1.737592,0.625,68.5061,22.62195,0,-9.200917,0.01616086,0.9828197,4.009146,32.21037,6.097561,0,-9.622895,0.1286883,0.7559691,6.455793,4.214939,4.931403,0,up
1.146224,-2.430713,13.43207,11.75305,194.3674,18.58994,0,-2.735974,-2.020706,5.91727,17.91158,136.0747,21.79878,0,-3.946243,-2.768894,9.922769,2.004573,76.96647,11.59299,0,-5.566519,-0.04967968,7.271789,6.867378,87.33232,14.87043,0,-6.554127,-0.1508347,6.893505,1.394817,89.13873,2.827744,0,-7.64289,0.1274912,6.479907,0.1371951,78.00305,15.81555,0,-8.350976,-1.216254,2.718616,0.625,112.9192,19.69512,0,-9.317036,0.3639187,-0.1981202,2.271342,58.56707,24.93903,0,-9.442133,0.9696517,3.597887,-7.240854,21.8064,12.87348,0,-9.816227,1.101931,1.795053,-1.394817,30.83842,2.271342,0,up
-1.316212,-2.44029,9.939528,10.29726,86.47104,23.06403,0,-3.002329,-1.482011,8.586205,-1.814024,102.1494,4.504573,0,-4.396951,-2.221221,7.477691,16.75305,65.75458,7.797256,0,-5.291784,-2.337938,7.983466,20.92988,67.03506,13.83384,0,-5.853225,-2.321777,8.511986,24.04726,106.2271,21.50915,0,-6.419453,-3.050213,6.428432,15.11433,146.7454,21.67683,0,-8.157643,0.6925228,0.7098808,8.003049,99.07012,30.23628,0,-9.849147,1.360505,-0.6506243,8.864329,20.23628,0.3277439,0,-9.877279,0.2879027,0.9684546,5.823171,32.03506,1.440549,0,-9.523536,-0.2867056,1.58556,2.797256,12.19512,3.109756,0,up
-2.609081,-1.47423,8.661025,-6.417683,99.20732,-3.452744,0,-3.855862,-1.433528,8.81605,3.628049,83.69665,7.911585,0,-5.276222,-1.867477,6.691195,18.03354,69.04726,23.04878,0,-6.28897,-2.176329,6.91206,13.85671,70.56403,11.60823,0,-6.862979,-1.405995,6.925229,16.50915,83.9558,17.70579,0,-7.628525,-0.4932055,4.301782,11.78354,89.84756,11.69207,0,-8.825027,0.1460463,2.905364,1.417683,89.0625,31.66159,0,-9.214684,0.5895722,0.7643489,2.134146,53.58994,25.76982,0,-9.139865,-0.2507926,1.554435,0.9527439,32.02744,7.637195,0,-9.671378,0.444723,0.7763199,0.9070122,25.57165,3.246951,0,up
-1.739388,-0.7864953,8.251018,3.338415,67.66769,-0.2439024,0,-2.182913,-2.52708,9.463681,-4.6875,108.0945,10.32774,0,-3.975572,-1.866879,7.340024,15.2439,90.83842,25.06098,0,-5.572505,-1.034894,6.182427,18.20122,77.66769,25.47256,0,-6.345233,-0.4363432,7.823653,10.45732,81.81403,8.277439,0,-7.215525,0.09337386,5.966949,17.85823,88.89482,12.36281,0,-8.131308,-0.6745663,4.823718,6.143293,95.80031,24.53506,0,-8.792108,0.6901286,2.129642,4.96189,73.6433,21.81402,0,-9.254786,1.444302,1.182736,5.106708,30.92988,5.060976,0,-9.506777,0.9433154,1.644816,2.53811,30.90701,-1.189024,0,up
