acc_x_t0.25,acc_y_t0.25,acc_z_t0.25,gyro_x_t0.25,gyro_y_t0.25,gyro_z_t0.25,flex_t0.25,acc_x_t0.5,acc_y_t0.5,acc_z_t0.5,gyro_x_t0.5,gyro_y_t0.5,gyro_z_t0.5,flex_t0.5,acc_x_t0.75,acc_y_t0.75,acc_z_t0.75,gyro_x_t0.75,gyro_y_t0.75,gyro_z_t0.75,flex_t0.75,acc_x_t1.0,acc_y_t1.0,acc_z_t1.0,gyro_x_t1.0,gyro_y_t1.0,gyro_z_t1.0,flex_t1.0,label
-8.700529,4.246715,0.7320271,-0.4268293,-1.692073,0.6707317,8.631378,-8.596381,4.316746,0.4584896,4.405488,-3.102134,2.400915,8.563751,-8.495825,4.19524,0.8810662,9.931402,2.721037,3.986281,8.228561,-8.343793,5.464766,-0.9205706,14.83994,25.17531,35.38872,8.49633,left
-9.277532,2.268506,0.9744401,-1.143293,2.896342,-0.2134146,8.699181,-9.167398,3.700837,0.7541735,1.371951,-1.227134,0.5182927,8.295219,-7.524377,9.492412,-0.01316811,82.90397,-35.96799,133.3003,8.631378,-7.814674,4.940435,-0.3950433,7.050305,8.910061,15.98323,8.029739,left
-9.252393,2.203264,1.54426,1.547256,2.179878,3.490854,7.898125,-9.0842,2.760514,1.684321,-2.743902,-0.1905488,-4.314024,8.162109,-7.998429,6.042367,0.4537012,62.78963,0.5259147,63.54421,8.563751,-6.166865,8.425196,1.331775,1.112805,12.97256,42.40092,7.963837,left
-8.990228,1.760935,2.831144,1.577744,3.742378,-1.577744,8.49633,-8.891466,2.492963,2.974197,-2.42378,2.027439,-2.682927,8.162109,-6.504447,5.09127,6.432621,42.7058,9.253049,84.55793,8.162109,-6.916849,6.928221,2.582745,1.989329,-20.44207,10.8689,7.6371,left
-9.160814,1.818995,2.528277,0.5030488,4.275915,-3.47561,8.228561,-9.107543,2.011728,2.506729,-1.509146,-4.588415,-0.464939,7.832588,-6.567894,3.734955,6.564901,3.185976,-28.32317,34.55793,8.631378,-5.263054,6.616376,4.429273,7.85061,-45.1372,30.625,8.09584,left
-9.524135,1.775899,0.279523,-5.594512,0.4573171,-3.193598,8.162109,-9.5385,1.487996,0.3633201,-4.954268,-4.397866,-6.349085,8.09584,-8.555081,-1.677737,2.151789,-10.625,17.49238,-90.98323,8.09584,-8.561067,-4.238336,1.239598,17.44665,-19.60366,-74.66463,8.49633,right
-9.239224,1.155202,2.401983,-3.170732,-4.496951,-2.484756,7.702087,-9.242217,1.280299,2.342128,-1.516768,-0.1371951,0.5411586,8.09584,-7.687782,1.776498,2.791041,-39.8933,2.454268,-189.0396,8.09584,-7.56867,-7.809288,0.6344634,-17.72104,-28.08689,-94.39787,8.699181,right
-9.169194,0.9630676,3.050812,0.8079268,0.4039634,-2.11128,8.429108,-9.193734,0.6446388,2.760514,-1.32622,-0.7469512,0.8231708,7.832588,-8.902241,1.568801,3.233968,-15.70122,-4.954268,-93.75762,8.362083,-6.736086,-6.806715,2.628235,-19.73323,-3.300305,-136.0823,8.49633,right
-9.193734,0.3992331,2.91913,0.4801829,-0.9984756,1.676829,8.295219,-9.083003,0.5249288,3.118448,2.766768,0.3887195,0.2591463,8.563751,-9.216479,0.1909376,2.72101,-1.493902,-1.189024,1.356707,8.162109,-9.173384,0.616507,3.231574,-6.150915,1.814024,-6.493903,8.699181,right
-9.153631,-0.3268085,2.995146,2.088415,-0.9756098,2.751524,7.898125,-9.0842,-0.2801216,3.363853,0.1067073,-1.486281,1.135671,8.295219,-8.705916,-5.287594,2.668936,-5.083842,-21.40244,-126.4558,8.09584,-8.075044,-5.392939,0.9235633,-52.65244,-19.1311,25.86128,8.49633,right
