acc_x_t0.25,acc_x_t0.5,acc_x_t0.75,acc_x_t1.0,acc_y_t0.25,acc_y_t0.5,acc_y_t0.75,acc_y_t1.0,acc_z_t0.25,acc_z_t0.5,acc_z_t0.75,acc_z_t1.0,gyro_x_t0.25,gyro_x_t0.5,gyro_x_t0.75,gyro_x_t1.0,gyro_y_t0.25,gyro_y_t0.5,gyro_y_t0.75,gyro_y_t1.0,gyro_z_t0.25,gyro_z_t0.5,gyro_z_t0.75,gyro_z_t1.0,flex_t0.25,flex_t0.5,flex_t0.75,flex_t1.0,label
3.858256,3.85646,3.378817,2.955642,-5.12,-5.173271,-3.779247,-4.899135,7.471107,7.433398,9.397242,8.06008,-1.234756,0.1753049,1.143293,2.644817,0.1753049,0.5792683,16.95884,-4.794208,0.1829268,-0.2743902,9.702744,3.056402,0.0,0.0,0.0,0.0,left
3.509301,3.508104,3.313575,3.105878,-5.550358,-5.519234,-6.500257,-3.650559,7.347805,7.366959,6.803124,8.688558,-0.3506098,-0.4039634,33.65092,1.760671,-0.3963415,-0.7240854,25.28201,-7.507622,0.03810976,0.1371951,-5.304878,6.17378,0.0,0.0,0.0,0.0,left
3.587113,3.564368,3.572747,3.230975,-5.436634,-5.367202,-5.399523,-5.196016,7.395689,7.442376,7.417835,7.835624,0.2210366,-1.5625,2.134146,34.59604,-0.1067073,-1.272866,0.4192073,13.67378,-0.2362805,0.2743902,0.3963415,-0.4268293,0.0,0.0,0.0,0.0,left
3.632004,3.65415,3.985747,3.875015,-4.7896,-4.826112,-9.851542,-3.977368,7.798513,7.778163,4.626795,8.184579,-0.5640244,0.0152439,10.48018,1.067073,-0.1219512,-0.5335366,-4.237805,7.858232,0.2972561,-0.2057927,21.44817,-9.984756,0.0,0.0,0.0,0.0,left
3.473388,3.266888,3.554192,3.184887,-5.031415,-5.51684,-5.735909,-2.56,7.765593,7.53156,7.460931,9.114127,13.125,8.696647,9.115854,0.5716463,3.879573,9.153964,-0.9984756,-4.535061,-5.792683,-10.44207,6.204268,6.768293,0.0,0.0,0.0,0.0,left
4.101267,3.95582,3.936666,3.42311,-4.034828,-4.07972,-4.111443,-4.490924,8.012794,8.063671,8.041525,8.048708,-0.625,0.6021342,0.09146341,7.1875,-0.7088415,-0.2210366,0.3734756,26.98171,0.7164635,-0.1143293,0.2515244,13.20122,0.0,0.0,75.50078,0.0,left
3.691261,3.169923,3.521871,3.187281,-3.748721,-3.683479,-5.447407,-2.682703,8.325238,8.65863,7.908048,8.927979,1.692073,1.166159,7.667683,-0.2134146,2.439024,11.24238,-3.132622,-4.839939,-1.204268,-10.60213,21.16616,10.1372,0.0,0.0,0.0,0.0,left
3.523666,3.434482,3.429095,3.140594,-3.300407,-3.439869,-4.792593,-1.769315,8.55987,8.600571,8.088212,9.266159,22.54573,10.47256,37.8811,-5.396342,12.1875,11.1814,18.18598,3.864329,-5.0,-9.153964,-4.733232,-19.91616,0.0,0.0,0.0,0.0,left
3.829526,3.822942,3.411139,3.290232,-3.621829,-3.567361,-4.24073,-1.702876,8.32045,8.306085,8.174403,9.266758,-0.3353659,-0.9908537,32.83537,5.0,-0.3429878,-0.1143293,16.02896,0.3887195,-0.5868903,-0.0152439,11.78354,-12.55335,0.0,0.0,0.0,0.0,left
4.285621,4.433463,3.483563,3.949834,-4.495114,-3.735553,-3.535039,-2.616264,8.049905,8.026561,8.502409,8.680179,2.217988,24.54268,4.481708,0.3887195,-2.096037,20.37348,-6.615854,-3.346037,-4.359756,-5.495427,21.85976,5.571647,0.0,0.0,0.0,0.0,left
