flex,acc-x,acc-y,acc-z,gyro-x,gyro-y,gyro-z
4.668095,-0.3094506,8.681973,-0.320122,-0.007621951,-0.1219512,0
4.676475,-0.3028665,8.689755,-0.2210366,-0.09146341,-0.06097561,0
0.3866636,2.005743,2.8491,47.33994,249.7485,-207.3476,0
-2.217031,-5.196615,10.17536,36.03659,23.59756,55.42683,0
-2.387618,-5.840655,5.543774,26.02134,-9.115854,8.094512,0
-2.061408,-6.774992,5.553949,-11.16616,10.28963,-10.74695,0
-2.081758,-6.678626,6.159084,-11.08994,-16.82927,-23.32317,0
-2.809596,-5.802947,7.86196,0.1905488,-24.40549,-2.370427,0
-3.052009,-5.85921,7.192182,-9.939025,-13.95579,-10.74695,0
-3.120243,-6.219537,7.44896,-5.815549,-0.4954268,-1.554878,0
-6.831256,-5.439028,-7.943961,-249.7561,-10.83842,54.64939,0
-9.366715,2.842516,-2.407968,1.753049,-4.61128,0.4268293,0
-9.180567,2.345121,-1.632845,-4.306403,4.10061,-4.740854,0
-9.165004,2.357092,-1.268927,-0.160061,8.216464,4.001524,0
-9.271546,2.011728,-1.772906,3.185976,9.542684,9.862805,0
-9.350554,1.946486,-1.085172,2.271342,0.2820122,6.318598,0
-9.330204,1.538275,-1.560421,0.8917684,1.295732,-3.940549,0
-9.639056,2.280477,-1.115099,-0.785061,-5.297256,-1.775915,0
-9.14585,2.318186,-1.233612,3.521342,3.292683,9.153964,0
-9.170391,2.233192,-1.025317,-4.359756,4.542683,-7.713415,0
-9.144054,1.726219,-1.473631,5.342988,4.253049,13.71189,0
-7.795521,3.776255,-4.769848,93.22409,-100.6784,-28.58994,0
-3.433884,-9.052477,2.794033,-86.24238,96.0747,78.0183,0
-3.642179,-0.5410896,7.976283,-28.20884,-11.8064,3.467988,0
-2.077569,-2.892794,9.452907,-0.05335366,-0.1676829,5.716464,0
-1.909376,-2.643199,9.636662,1.341463,-1.128049,-3.940549,0
-2.115277,-2.787449,9.202114,3.780488,-1.814024,-1.852134,0
-2.932298,-1.407192,9.235633,-20.46494,1.143293,-5.495427,0
-2.362478,-2.731784,9.153033,-1.737805,-0.4496952,1.021341,0
-2.842516,-1.908777,9.490017,3.246951,2.309451,-4.02439,0
-3.080141,-1.504756,8.777742,2.522866,4.115854,1.91311,0
-2.336142,-2.847304,8.970475,-1.120427,-1.585366,-1.882622,0
-2.143409,-2.967015,9.324219,0.1981707,0.7164635,0.4801829,0
-2.214637,-2.910152,9.194333,0.8841463,3.963415,0.8231708,0
-2.083554,-2.81199,9.22426,0.8612805,3.864329,1.410061,0
-2.040458,-2.996942,9.388264,-0.9146341,-0.8993903,1.745427,0
-2.08535,-2.74196,9.054871,0.06859756,0.7088415,-1.486281,0
-2.361281,-2.458845,9.22426,2.11128,0.0,0.7774391,0
-2.565387,-2.25055,9.071032,1.143293,-1.051829,-0.9527439,0
-2.739565,-2.193687,9.203311,-2.073171,-5.07622,-1.730183,0
-2.511518,-2.393603,9.391256,-0.5259147,-0.1981707,-0.320122,0
-2.519299,-2.239776,9.277532,0.7012195,3.094512,1.028963,0
-2.598307,-2.214038,9.199121,-0.8993903,-1.32622,-0.2515244,0
-2.704849,-2.207454,9.14585,-0.8612805,-1.341463,0.3658537,0
-2.338537,-2.344522,9.371504,-0.6478659,1.387195,-0.1676829,0
-2.622249,-2.3122,9.127894,-2.858232,1.958842,2.73628,0
-2.703054,-2.19668,9.024344,-0.4420732,-3.734756,-2.118902,0
-2.777873,-2.03567,8.974665,0.1295732,-1.181402,-0.2820122,0
-2.525284,-2.073379,9.121908,-0.7088415,-1.158537,-1.501524,0
-2.748544,-1.969829,8.944737,-0.617378,-2.995427,-0.5411586,0
-2.399589,-2.047641,9.150639,0.320122,0.1905488,-1.135671,0
-2.409764,-2.249951,9.421782,-1.478659,-0.9527439,-0.2896341,0
-2.561197,-2.20087,9.200318,-0.9603659,-1.63872,-0.8917684,0
-2.48159,-2.138621,9.323022,-2.210366,-4.72561,-1.333841,0
-2.464232,-2.176928,9.0842,-0.3734756,-1.059451,0.0152439,0
-2.44029,-2.057218,9.238028,1.105183,1.989329,-1.028963,0
-2.37026,-2.20925,9.272144,-0.4344512,-1.478659,-0.5640244,0
-2.381034,-2.098518,9.328408,0.3658537,-0.929878,-1.120427,0
-2.337938,-2.168548,9.370307,0.5259147,0.4268293,-0.2820122,0
-2.523489,-2.297236,9.179369,-1.440549,-2.065549,0.5640244,0
-2.586935,-2.091934,9.147048,0.152439,0.320122,0.160061,0
-2.4361,-2.075174,9.205706,0.2896341,0.02286585,-0.09146341,0
-2.487576,-2.170942,9.237429,-0.8384147,-1.036585,-0.04573171,0
-2.424129,-2.252345,9.509769,-0.8307927,0.785061,1.471037,0
-2.550423,-2.096722,9.108741,-1.105183,-1.257622,-0.9908537,0
-2.45705,-2.08535,9.272144,0.4573171,-0.3277439,-0.320122,0
-2.813786,-2.484583,12.48277,67.3247,137.4085,113.7805,0
-9.414599,2.186505,0.3034651,3.170732,-14.62652,0.320122,0
-9.807847,1.935114,0.08259996,0.3963415,3.879573,-0.7469512,0
-9.30267,2.088342,0.5614403,1.928354,0.9908537,0.2362805,0
-9.338584,2.207454,0.4704606,-0.7393293,1.006098,3.689024,0
-9.376891,2.07278,0.6063316,0.4192073,-0.2134146,-3.445122,0
-9.440337,2.073977,0.8589199,-1.410061,-1.867378,-0.2134146,0
-9.978435,2.616264,2.395399,31.24238,50.86128,-37.99543,0
-1.446098,-7.106589,0.8140285,36.6311,-0.2362805,-5.746952,0
-2.384026,-8.615535,2.267309,-1.646341,-1.410061,-1.707317,0
-2.066795,-10.24539,1.463456,-3.125,0.09146341,-10.29726,0
-2.138621,-9.566033,1.391031,-0.4420732,-11.73018,7.804878,0
-2.286463,-9.937733,1.96564,-2.141768,-6.829268,3.216464,0
-2.68809,-8.980651,2.008735,-4.321646,4.504573,-0.7698171,0
-2.33315,-8.851364,2.756923,-0.9527439,7.141768,-5.3125,46.00689
-1.896208,-8.74123,3.62961,-0.2057927,0.6631098,2.202744,27.63
-1.881843,-8.608951,3.658939,2.004573,3.330793,-5.70122,1.944153
-1.74238,-9.166202,3.720589,-0.1448171,-2.141768,-1.265244,0
-1.640028,-8.99322,3.284845,4.131098,-2.980183,0.9222561,2.967026
-1.649006,-8.842385,3.254319,3.117378,-4.466464,2.042683,1.451378
-1.559224,-8.611943,4.259285,-2.721037,7.926829,1.5625,1.994095
-1.425747,-8.938153,3.880402,-0.2820122,1.242378,0.320122,2.094376
-1.636437,-9.100361,4.179677,0.625,0.3810976,-1.01372,2.245697
-1.486201,-9.091981,4.193444,0.7164635,-2.57622,2.301829,1.305878
-1.619079,-8.575432,3.949834,2.621951,1.074695,1.882622,2.449211
-1.641225,-8.215105,4.21559,1.996951,2.240854,-2.301829,0
-1.766322,-8.448539,3.95163,-2.8125,-1.112805,-1.082317,19.14617
-2.093131,-7.769783,3.955221,4.458842,-10.61738,38.31555,0
-8.859145,-4.054581,-1.79206,23.35366,-7.5,-12.24848,0
-4.186262,-7.889493,1.282095,10.14482,-44.52744,11.34146,0
6.429629,-3.057994,6.561908,9.268292,11.68445,21.13567,0
2.162563,-8.289325,2.512715,50.82317,41.51677,-223.5976,0
3.271078,-9.911396,0.03711013,-0.7240854,-6.821647,-7.202744,0
3.165733,-8.817844,0.6003461,3.193598,-6.905488,-4.123476,0
3.624223,-9.189545,0.2920926,4.359756,2.439024,16.34908,0
3.746926,-9.31105,0.2885013,-2.1875,-9.565549,-2.271342,0
4.082713,-8.555081,0.05386954,12.53049,16.14329,5.27439,0
3.899556,-8.8364,0.1095347,-0.1753049,2.560976,-6.189024,0
3.900753,-8.963293,0.004788403,-0.0304878,1.509146,-2.5,0
4.197634,-8.904037,-0.1035492,-0.8079268,8.993902,-8.635671,0
4.163517,-9.725247,-0.2879027,-2.141768,13.66616,7.759147,0
4.276643,-8.649652,-0.1173159,3.391768,-1.272866,4.260671,0
3.985747,-8.677784,-0.05985504,-4.458842,10.90701,-11.58537,0
4.410718,-8.548497,0.077213,-2.911585,7.469512,-9.214939,0
0.02573767,-10.6943,-2.602497,-36.98933,-162.904,115.2058,0
-9.556456,-1.173159,2.646191,-10.3125,-62.01982,-50.41159,0
-9.245809,3.942053,-1.720234,8.658537,-10.94512,-15.45732,0
-9.146449,2.722806,-1.960253,2.57622,9.214939,8.338415,0
-9.361329,2.151789,-1.65978,-1.189024,-2.004573,1.608232,0
-9.38168,1.838148,-0.213084,0.8993903,20.35823,10.40396,0
-9.208698,2.548628,-1.443105,2.385671,4.009146,3.51372,0
-4.460996,9.912594,2.746748,0.2439024,-22.11128,249.7485,0
-0.7930793,9.070433,1.857302,2.195122,-5.571647,9.931402,0
-0.8900445,9.192537,2.582745,-0.6935976,2.865854,0.8612805,0
-1.142034,9.970055,2.671929,2.804878,3.818598,-2.53811,0
-0.7607575,9.545682,1.605911,-3.376524,-15.23628,-12.40092,0
-1.132457,8.664018,2.5187,-1.989329,-2.217988,-8.612805,0
-1.181539,9.358934,2.678513,-2.820122,0.632622,-1.006098,0
-1.234211,10.26933,2.544438,3.650915,-1.097561,-5.495427,0
-1.109114,9.466674,2.694674,-0.9070122,-1.410061,-7.789634,0
-2.88621,10.58417,2.545635,14.26829,-32.30183,-138.8338,0
6.584653,-0.9911995,4.931457,-8.574696,-69.5122,-57.19512,0
8.766968,1.291073,4.778827,4.314024,3.742378,2.903964,0
8.195353,0.635062,5.639542,4.009146,-0.02286585,3.887195,0
8.000824,0.3938462,5.131971,-1.684451,-2.141768,3.117378,0
7.975685,0.5129577,5.600636,-1.707317,1.158537,0.2972561,0
8.321647,0.8242039,5.779005,3.879573,-0.9603659,-4.862805,0
