acc-x,acc-y,acc-z,gyro-x,gyro-y,gyro-z,flex,label
-1.190517,8.769362,3.338116,-1.402439,1.448171,6.463415,0,left
-1.283292,9.36492,3.479374,-1.150915,2.507622,-1.242378,0,left
-1.235408,9.181764,3.58831,-1.52439,0.929878,3.559451,0,left
-1.508347,9.437943,3.261501,-0.8231708,-0.8612805,-0.5182927,0,left
-1.327585,8.890269,3.156156,0.5640244,-1.890244,1.112805,0,left
-1.693299,9.123704,3.839701,0.5945122,-1.471037,4.733232,0,left
-1.396418,8.771158,3.286042,1.867378,-0.5716463,-0.3887195,0,left
-1.261146,8.459911,2.957438,0.4573171,-6.196647,5.358232,0,left
-1.259949,9.408015,3.375226,1.707317,-4.733232,9.679878,0,left
-1.155202,9.200318,3.407547,0.4801829,1.547256,0.8689024,0,left
-1.697489,8.246229,2.455254,6.059452,-7.317073,-8.292683,0,left
-1.230021,9.128492,3.117251,0.9527439,-0.8460366,4.809451,0,left
-1.228225,9.132683,2.703054,-5.815549,-2.934451,4.29878,0,left
-1.436521,9.188946,3.473987,-1.089939,-15.43445,25.12957,0,left
-1.315015,10.43573,3.693056,-0.7926829,-8.041159,20.03811,0,left
-1.142034,5.705383,2.112284,-14.26067,-11.85976,-36.71494,0,left
-1.830966,6.224326,3.33213,18.01067,-26.03659,43.75,0,left
-0.4381389,9.324817,7.226299,-30.54116,18.4375,-15.74695,0,left
0.943914,7.591415,6.176442,-48.5061,12.00457,101.9893,0,left
2.011129,5.831677,7.095217,-17.29421,12.6372,15.41921,0,left
2.290054,6.724115,6.43741,2.294207,1.692073,-2.088415,0,left
2.305018,7.69257,7.046734,-11.31098,8.67378,-24.32165,0,left
1.148618,5.59106,6.077681,137.3857,12.77439,-32.98018,0,left
0.2035071,7.590816,4.988319,29.23018,48.60518,-32.69055,0,left
-1.704073,9.085397,4.310162,33.79573,3.064024,-38.18598,0,left
-3.124433,8.968081,1.991976,8.117378,-23.46799,-44.22256,0,left
-5.142745,7.953538,1.336563,10.84604,4.733232,-18.30793,0,left
-6.303933,7.171831,0.4321534,69.07012,-12.58384,-9.344512,0,left
-6.184822,6.992865,-1.25516,16.60061,-1.882622,8.117378,0,left
-5.059547,6.749853,-1.030105,-5.868903,29.3064,57.3628,0,left
-2.272097,8.747216,-2.114679,-26.03659,20.75457,44.67988,0,left
0.2298434,9.391256,-0.3268085,-24.79421,10.66311,10.88415,0,left
1.321599,8.41921,0.9588778,-55.51067,12.33232,33.1936,0,left
2.147,8.307879,2.825757,-47.43903,4.748476,35.89177,0,left
3.160346,9.068039,3.81097,-14.54268,8.932927,6.158537,0,left
3.0143,8.317456,3.577536,-1.646341,-16.01372,-44.15396,0,left
1.959654,8.527548,2.430115,16.22713,-35.08384,-46.15092,0,left
1.339556,9.26556,3.022081,9.192074,-16.16616,-32.07317,0,left
-1.204882,7.932589,0.6009446,22.2561,-18.54421,-17.48476,0,left
-2.995146,8.864532,1.514931,0.9832317,-5.114329,9.847561,0,left
-3.875614,10.27831,1.553837,5.045732,3.704268,-28.10213,0,left
-5.142147,8.303091,0.4285621,0.5487805,-9.916159,-22.48476,0,left
-4.791396,8.807071,1.569998,-14.76372,11.51677,75.51067,0,left
0.1274912,10.12628,-0.3070564,-14.32927,15.38872,83.13262,0,left
2.421735,11.32457,1.036689,-9.580793,13.78811,10.89177,0,left
3.118448,7.956531,2.896385,5.137195,-0.1295732,-8.75,0,left
2.851494,8.751406,2.03567,21.48628,-28.64329,-107.1494,0,left
1.959654,10.11909,0.4818331,6.364329,-42.31707,-47.11128,0,left
-1.941099,7.331046,2.182315,-4.192073,-13.17835,-16.97408,0,left
-3.175909,8.631696,2.367267,-21.22713,-15.97561,-82.99543,0,left
-2.750339,-4.180875,8.322844,-55.94512,-45.37348,-11.78354,0,right
-2.712631,-5.065532,7.992444,-18.47561,-18.58994,1.425305,0,right
-0.889446,-4.89315,5.324705,-74.49696,-30.51067,-120.0076,0,right
0.8325836,-8.484452,3.696647,-33.70427,-13.0564,4.550305,0,right
2.533065,-8.473679,2.854487,20.2439,-13.68902,-5.121951,0,right
1.784877,-9.725247,3.135207,45.70122,7.759147,-7.995427,0,right
1.686117,-8.466496,5.246294,-48.60518,-85.59451,-27.39329,0,right
3.827131,-10.07899,1.884835,-16.3186,189.1235,20.2439,0,right
3.157952,-10.51952,3.325546,-5.457317,-109.5351,-11.62348,0,right
1.539472,-5.316924,3.229778,-28.39939,82.59909,58.2622,0,right
0.456694,-7.912837,1.658583,22.21799,-1.196646,-27.71342,0,right
2.391209,-10.14244,3.457227,16.99695,16.1814,-33.30793,0,right
2.915539,-8.831013,2.575562,-14.98476,-30.82317,-1.928354,0,right
2.058415,-9.235035,4.686051,3.589939,-30.22104,30.11433,0,right
1.582567,-10.41238,3.451242,4.809451,-18.75762,6.310976,0,right
1.686715,-9.148245,3.281253,0.945122,26.3872,-22.66768,0,right
2.724003,-8.787319,5.819107,17.93445,-10.32012,-9.283537,0,right
2.555212,-8.408437,4.713584,-3.018293,-1.646341,24.46646,0,right
1.398812,-9.071032,4.076128,0.9908537,-16.51677,30.12195,0,right
2.231396,-9.855731,5.330091,0.0152439,-4.596037,13.14024,0,right
2.272696,-9.171588,4.391564,5.86128,17.71342,-43.07927,0,right
2.617461,-8.455123,4.776433,3.78811,-35.4497,38.03354,0,right
1.543662,-7.532757,2.537854,-2.835366,49.23018,10.70884,0,right
1.514931,-8.614936,3.216012,7.721037,-5.503049,20.11433,0,right
2.804209,-8.419808,4.69084,22.30945,41.95122,-49.58842,0,right
2.7665,-8.289924,5.831078,-7.53811,2.240854,32.23323,0,right
1.893215,-8.67958,4.287416,-0.1448171,-0.7240854,-6.821647,0,right
1.830966,-8.705317,4.773439,2.667683,-4.977134,-12.10366,0,right
1.410185,-8.405443,5.846641,12.89634,-40.19055,-3.460366,0,right
2.437896,-8.409035,3.46022,14.81707,19.87043,-40.29726,0,right
3.008913,-7.771579,5.833472,-0.1829268,13.89482,-28.24695,0,right
2.755128,-7.24665,6.980295,8.285061,6.112805,23.58994,0,right
2.719813,-8.794501,4.735132,-48.5747,-13.76524,33.14787,0,right
2.224812,-8.731055,4.55437,-4.847561,-22.89634,10.33537,0,right
1.447295,-9.006987,4.697424,-0.5792683,-13.93293,23.42226,0,right
0.7188591,-7.527969,3.594295,8.452744,13.39177,-20.26677,0,right
2.398391,-7.636306,4.905121,13.8186,17.53811,-33.73476,0,right
2.941875,-8.56825,6.820482,69.49696,33.49086,-13.71951,0,right
3.921702,-6.818686,5.419874,17.78201,26.16616,-18.51372,0,right
3.405153,-8.665215,5.070321,13.25457,-8.224086,33.22409,0,right
3.636194,-9.248801,3.062184,-54.54268,-27.72866,14.80183,0,right
2.475006,-9.691729,2.536058,-4.832317,22.05793,3.109756,0,right
2.170344,-7.633912,0.9834184,16.12043,-5.114329,38.23171,0,right
1.611298,-9.236232,2.145803,-39.7561,7.362805,39.84756,0,right
